userName,score,at,content
Syahrul Akbar,5,2026-06-13 08:09:47,Perfect
Danis Suprianto,1,2026-06-12 00:14:05,Tidak Ada Pelafalan Pada Lirik Di Dalam Musik Yang Sudah Diunduh Dan Tolong Perbaiki Algoritmanya Yang Sampah
Raka,4,2026-06-11 15:09:52,"algoritmanya tolong dibenerin, saya lagi denger lagu sad eh lagu berikutnya malah lagu vramroro"
Syamil Muaz,5,2026-06-11 12:39:44,good!!
Alvin Dwi,1,2026-06-11 11:08:36,"ingin refund langganan namun tidak bisa kalau refund harus ke website nya, login pakai email, selanjut nya ada 2 autentikasi pakai nomor hp, minta kode, dapet kode, saat masukin kode nya dapat error ""Terjadi kesalahan tidak diketahui"" sudah 3 hari ngelakuin ini berulang kali dan masih tidak bisa login karena masalah yang sama, dan hari ini akhir nya aku nyerah, dan yang pasti aku tahu kalau aku gaK bakal nyentuh apple music ini selamanya"
Azizah Ramadhani,5,2026-06-10 17:53:11,"saya sudah tidak premium, tapi kenapa uang saya dipotong untuk premium? plis kembalikan uang saya 🥺, sebanyak 121 ribu 🥺"
Sirin Silvet,5,2026-06-09 04:56:39,"Jujur Dibandingkan Spotify, Aku Rasa Apple Music Lebih Bagus Kualitas Suaranya"
Bajang Gta66,5,2026-06-08 16:49:32,bagus
Ikhwan Al-Amsyah,1,2026-06-08 14:31:30,untuk 1 lagi saja hars berlangganan 55 rb satu bulan
Reza Ariansyah,5,2026-06-08 13:42:25,keren
Rabarwi,1,2026-06-07 10:51:50,jelek banyak bug nya
alby,1,2026-06-07 07:51:50,ngelag
Gustaf Wijaksana,5,2026-06-06 09:21:54,UInya bagus
In,2,2026-06-06 08:28:33,"ui ditampilkan home sebenarnya selera masing2 ya, menurut saya ui yang bagus hanya saat klik lagu nya saja, juga ada hi ress audio, dan hanya itu saja yang bagus di aplikasi ini, selain nya sampah penuh bug yang tiba-tiba saja muncul, terkadang bugnya bisa sampai login ke website nya bukan hanya di app nya, streaming musik modal hi ress sama ui doang, giliran bug banyak"
Roycoco,4,2026-06-05 08:33:37,Terimakasih karena sudah di fix untuk masalah login. Saya harap untuk monthly replay juga di fix karena kemarin top songs dan top artistnya tidak sesuai dengan apa yang didengarkan selama 1 bulan terakhir.
Vibin,1,2026-06-03 23:06:29,"akun kadang kadang suka keluar sendiri, dan SERING KALI GAK BISA MASUK LAGI 💔💔"
Bidjan Roshal,1,2026-06-03 17:48:03,gabisa login
faww.n,1,2026-06-03 12:13:55,as android user why is it soo difficult to log in? I've tried multiple times to log in but still
Aditya Aghnia,1,2026-06-02 21:07:25,please free
Bs Hanzokuro,5,2026-06-02 00:00:27,ini knp ya gua pake 2 HP yg utama iphone langganan apple music HP ke 2android rencana biar 1 apk dan playlist jd di android ga pake sporty and udh dicoba download pake ini tpi ko ga bisa login login ya kaya BUG gtu?
Neon Moon13,5,2026-06-01 13:55:25,awesome
Yudha Abdi YT,1,2026-06-01 00:45:04,banyak bug
Axel,1,2026-05-31 23:19:03,"Aplikasi terlalu banyak bug saya tidak bisa login lagi si andorid maupun di windows, Bodoh."
mdafa 01,1,2026-05-31 16:29:13,login nya susah
Alfin Prasetya,1,2026-05-31 12:28:01,bug login di android
253 012 M. Fikri As'ad S.,1,2026-05-30 16:35:38,"Tidak bisa login, kredensial sudah benar. Sudah langganan padahal :("
Yu Sri,1,2026-05-30 15:11:56,harus membuat akun 😟
Alan,1,2026-05-29 12:54:07,"Tolong ini kenapa sudah coba login 3 akun tidak bisa?. 2 di antaranya akun baru dan 1 akun lama. padahal baru log out, waktu di coba login malah tidak ada notif apa apa. Lalu masuk ke halaman setting. Kalau memang tidak bisa login berikan alasan atau notif yang jelas. Saya coba login di apple music web malah bisa akunnya ini kenapa?"
Fikri Wardhana,3,2026-05-29 10:07:48,BUG MULU WAKTU MAU LOGIN... GIMANA SIH?
Fatih umay Sahab,1,2026-05-29 05:26:57,untuk membuat akun apple di android masih sangat rumit bahkan hampir tidak bisa
Raihan Agustian,1,2026-05-28 21:18:42,gabisa login apk rusak
Ariffaldy Williansyah Pratama (타마),5,2026-05-28 17:09:04,buat pengguna android yang mau login bisa pake akun yahoo yaa..
Leoo Ahay-,5,2026-05-28 13:59:53,good
Haryanto Pranowo,1,2026-05-28 09:17:34,mengganggu
Fauzan Rido Setiawan,5,2026-05-27 23:50:52,Pengalaman pengguna yang luar biasa. Semua fitur berjalan lancar tanpa kendala berarti.
nayla peristia,1,2026-05-27 20:57:21,gjls gbs masuk trs error trs
Bolo Dewo,1,2026-05-27 20:19:43,ga bisa buat beli musik..
Nabila Putri,5,2026-05-27 20:14:14,bagus banget le
Arba Salahuddin,1,2026-05-27 18:15:03,"tidak bisa digunakan untuk login selain di device apple, saya sudah coba di windows 11 tidak bisa kemudian saya coba di tablet samsung s10 lite juga tetap tidak bisa. ketika sudah berhasil login layar tab bagian login tertutup tapi di aplikasi saya tidak terdeteksi kalau sudah login di akun saya"
Muhammad Zaenal Arifin,1,2026-05-27 17:30:00,nggak bisa login jir
Miyo,5,2026-05-27 10:11:22,kerasukan hi-res
Wina,1,2026-05-27 08:58:53,mau log in di persulit
Reynaldi FA,3,2026-05-26 14:49:41,"ini giman udah langganan tapi ga bisa login akun di app nya, sia sia dong langganan"
fanny 14,1,2026-05-25 17:08:10,"apk gjls, apasi loginnya susah bgt, udh msukin kode verifikasi yg ada di email ke appmus nya, tp msh aja gbs, pdhal rela hps spotify dmi download ni apk, sm aja trnyata."
Muhammad Rohmad Nur Ridho,1,2026-05-25 16:46:57,tidak bisa login 🙃
Reihan Hanafi,1,2026-05-25 14:34:52,"I’ve been trying to sign in to my Apple account, but it simply does not work — both on mobile and desktop. Every time I attempt to sign in, instead of successfully logging in, the system just redirects me back to the sign-in page with no explanation or response at all. This is extremely frustrating because I only want to subscribe to a service, yet the sign-in process never succeeds. Please fix this issue or provide a proper error message instead of endlessly looping back to the login page."
Farell Arrefa Z,3,2026-05-24 19:34:23,"banyak bug, dari lagu yang tiba tiba berhenti sendiri sama tiba tiba ke log out akunnya dari aplikasi di hp, terus malah ga bisa login lagi"
Rong Deko,1,2026-05-24 16:38:04,bug can't login everytimee
kevin net,1,2026-05-24 14:27:28,masih bug kalo login akun apple id
Antonius,1,2026-05-24 13:59:43,"Ngebug jir, masuk premium family. lagu gabisa diputer, alasan ""lagu tidak tersedia untuk negara ini"" padahal region indo. perbaiki pls"
Udin,1,2026-05-24 02:33:38,"bug gabisa login, mental ke pengaturan"
Herian Solo,2,2026-05-20 21:27:41,suka speed x2 aneh banget
Bintang Aura,5,2026-05-19 21:19:33,I LIKE EARGASM SM >_<
nviii18,1,2026-05-19 00:52:11,aku mau kasih rating 1 dulu dan tolong dibaca ya. aku barusan aktifkan kembali langganan student ku. udah aku bayarkan lewat shopeepay sejumlah 38.000 termasuk biaya admin. kemudian kenapa danaku diambil lagi sebanyak 38.000 padahal aku cuma punya 1 langganan aktif. bukankah seharusnya aku sudah bayar?. tolong respon karena disini aku dirugikan🙏🏻
Kamariah Husni,5,2026-05-18 16:52:54,"Bisa mengibur orang orang yang berada di dalam rumah. sedang sedih& bingung,bimbang"
Ji Sinping,1,2026-05-18 09:41:38,sangat tidak berguna bagi saya
Syafa Almir,2,2026-05-17 18:56:25,Ribet daftarnya
Marhasan,5,2026-05-16 21:31:49,suaranya jernih top lah selama pake ini
Ucup Malika,5,2026-05-16 19:43:09,singkat aja lu download ini kalo lu mampu bayar bulanan + ngincer lossles nya doang. selebihnya kurang banget apalagi algoritma nya ampas nyari playlist yang bagus susah pada alay saran kalo emang mau ambil ini harus udah punya playlist sendiri.
Axl Risky,5,2026-05-16 17:37:16,GOAT
Muhammad Arsyad,1,2026-05-16 14:19:38,"bobrok, langganan saya berakhir pada tanggal 28 mei tapi tanggal 16 mei tidak bisa digunakan lagi"
Rasheed McBride,5,2026-05-16 11:07:12,baguss bngtt 🥹
OKTA AC,5,2026-05-15 21:53:03,"aku yg biasanya download file MP3, dan sekarang malah ganti ke Aplikasi ini, serasa lebih enak lagunya, praktis, tidak mahal juga, mungkin jika dihitung 10 tahu, lumayan banyak juga sih, tapi sepadan dgn fitur dan kualitas musik di aplikasi nya"
Lenggam Jiwa,3,2026-05-15 14:59:01,"Sebenernya bagus, ga ada keluhan audio, atau apapun yang bersangkutan. TAPI KENAPE AKHIR-AKHIR INI BUG 😭 heran, gabisa play di android (hp), lagu apa aja ga ke play. Giliran ganti device (laptop) malah bisa. Aneh, sinyal sama loh padahal. Pernah sekali ngalamin ini sih, tapi harus uninstall trs login lagi, TAPI MASA IYA DI UNINSTALL TRS TIAP MAU PLAY MPRUY. tolong fix in ya bug nya apple music sayangku separuh nafasku. I love you, sukses selalu❤️"
Muhamad Irgi,5,2026-05-15 08:07:26,download ni aplikasi cuma buat nonton mayhem requiem doang awoakwowk
Manusia Manusia,4,2026-05-14 22:11:50,"UI nya bagus banget, apalagi udh support Hi-Res audio. tapi ada kekurangan, yap algoritmanya tolong benerin. Kalau search lagu pasti suka ga ketemu, terus fitur shufflenya juga lagunya cuma itu itu aja"
Rayn,1,2026-05-14 22:05:42,udah langganan tpi music ga bisa ke play?? jaringan pdhl bagus aneh
